Date,Hour,Price ($/MWh),Regional Power Demand (MW)
7/16/2021,1,,13257.16667
7/16/2021,2,,12695.5
7/16/2021,3,,12328.33333
7/16/2021,4,,12135
7/16/2021,5,,12096.5
7/16/2021,6,,12218.33333
7/16/2021,7,,12570
7/16/2021,8,,13201.66667
7/16/2021,9,,13978
7/16/2021,10,,14594.66667
7/16/2021,11,,15037.5
7/16/2021,12,,15392.5
7/16/2021,13,,15600.5
7/16/2021,14,,15784.66667
7/16/2021,15,,16020
7/16/2021,16,,16352.16667
7/16/2021,17,,16762.16667
7/16/2021,18,,16977.16667
7/16/2021,19,,16794.16667
7/16/2021,20,,16398
7/16/2021,21,,15869
7/16/2021,22,,14995
7/16/2021,23,,13893.33333
7/16/2021,24,,12952.16667
