Date,Hour,Price ($/MWh),Regional Power Demand (MW)
7/12/2021,1,31.3,11866.66667
7/12/2021,2,31.44,11474.66667
7/12/2021,3,30.95,11284.16667
7/12/2021,4,31.47,11317.5
7/12/2021,5,31.47,11730.5
7/12/2021,6,32.34,12557.16667
7/12/2021,7,29.48,13626.66667
7/12/2021,8,32.5,14579
7/12/2021,9,38.27,15194
7/12/2021,10,41.85,15492.16667
7/12/2021,11,45.21,15575.5
7/12/2021,12,41.51,15569.16667
7/12/2021,13,41.08,15554.66667
7/12/2021,14,43.99,15620.5
7/12/2021,15,44.69,15696.5
7/12/2021,16,45.22,15818.33333
7/12/2021,17,45.86,16208
7/12/2021,18,45.52,16438.33333
7/12/2021,19,43.94,16160
7/12/2021,20,37.23,15745
7/12/2021,21,32.13,15190
7/12/2021,22,31.36,14242.5
7/12/2021,23,33.85,13097.16667
7/12/2021,24,33.67,12180
7/13/2021,1,30.63,11552.16667
7/13/2021,2,30.31,11105
7/13/2021,3,29.3,10875
7/13/2021,4,29.87,10901.5
7/13/2021,5,31.96,11289.66667
7/13/2021,6,35.43,12085.5
7/13/2021,7,33.99,13088
7/13/2021,8,36.53,13939.16667
7/13/2021,9,33.41,14460.5
7/13/2021,10,30.16,14705.83333
7/13/2021,11,30.72,14840.5
7/13/2021,12,31.69,14894.66667
7/13/2021,13,33.76,14917.16667
7/13/2021,14,33.96,15032.16667
7/13/2021,15,33.97,15164.16667
7/13/2021,16,39.42,15394.16667
7/13/2021,17,39.5,15750.5
7/13/2021,18,39.46,15904
7/13/2021,19,35.26,15744
7/13/2021,20,35.69,15446.66667
7/13/2021,21,30.39,14953.33333
7/13/2021,22,29.37,14059
7/13/2021,23,30.8,12970.5
7/13/2021,24,28.72,12084.66667
7/14/2021,1,27.07,11479.16667
7/14/2021,2,27.31,11087.5
7/14/2021,3,26.75,10895.83333
7/14/2021,4,27.39,10958.33333
7/14/2021,5,27.24,11385.83333
7/14/2021,6,29.77,12228
7/14/2021,7,31.7,13301.5
7/14/2021,8,31.66,14221.66667
7/14/2021,9,32.15,14786.66667
7/14/2021,10,34.83,15138
7/14/2021,11,35.38,15415.5
7/14/2021,12,36.92,15665.5
7/14/2021,13,40.44,16007.5
7/14/2021,14,43.63,16433
7/14/2021,15,48.71,16944.16667
7/14/2021,16,54.33,17773.33333
7/14/2021,17,60.18,18780.83333
7/14/2021,18,54.27,19387.16667
7/14/2021,19,48.78,19303.33333
7/14/2021,20,44.07,18811.5
7/14/2021,21,38.45,18165.5
7/14/2021,22,35.76,17022.16667
7/14/2021,23,34.51,15506.66667
7/14/2021,24,36.95,14225
7/15/2021,1,37.46,14599.66667
7/15/2021,2,35.13,13874.16667
7/15/2021,3,32.82,13389.66667
7/15/2021,4,32.33,13106.5
7/15/2021,5,31.96,13015.5
7/15/2021,6,30.11,13139.16667
7/15/2021,7,32.35,13603
7/15/2021,8,37.16,14365
7/15/2021,9,42.25,15150.83333
7/15/2021,10,40.18,15723
7/15/2021,11,39.4,16136.66667
7/15/2021,12,46.9,16585.5
7/15/2021,13,49.39,17108
7/15/2021,14,46.73,17945
7/15/2021,15,42.76,18645.83333
7/15/2021,16,44.87,19053
7/15/2021,17,45.52,19385.5
7/15/2021,18,41.31,19408
7/15/2021,19,40.22,19054
7/15/2021,20,39.93,18576.5
7/15/2021,21,35.36,17931.5
7/15/2021,22,34.16,16926.5
7/15/2021,23,35.54,15664.16667
7/15/2021,24,39.1,14275.5
